 ,Andong,Ansan-si,Anseong,Anyang-si,Asan,Beolgyo,Boryeong,Bucheon-si,Busan,Buyeo,Changnyeong,Changsu,Changwon,Cheonan,Cheongju-si,Cheongsong gun,Chinch'ŏn,Chinju,Chuncheon,Daegu,Daejeon,Eisen,Eisen,Gaigeturi,Ganghwa-gun,Gangneung,Gapyeong,Gijang,Gimcheon,Gongju,Goseong,Goyang-si,Gumi,Gunsan,Guri-si,Gwangju,Gwangju,Gyeongju,Gyeongsan-si,Haenam,Hanam,Hayang,Heunghae,Hongch’ŏn,Hongseong,Hwacheon,Hwado,Hwaseong-si,Hwasun,Hwawŏn,Icheon-si,Iksan,Imsil,Incheon,Jeju City,Jenzan,Jeongeup,Jeonju,Jinan-gun,Kimhae,Kimje,Kinzan,Koch'ang,Koesan,Kosong,Kunwi,Kurye,Kwangmyŏng,Kwangyang,Kyosai,Masan,Miryang,Mokpo,Muan,Mungyeong,Munsan,Naesŏ,Naju,Namyangju,Nangen,Neietsu,Nonsan,Okcheon,Osan,Pohang,Puan,Pubal,Pyeongchang,Sangju,Santyoku,Sejong,Seogwipo,Seonghwan,Seongnam-si,Seosan,Seoul,Sinan,Sinhyeon,Sintansin,Sokcho,Suncheon,Suwon,Taesal-li,Tangjin,Tonghae,T’aebaek,Uijeongbu-si,Ulsan,Ungsang,Wabu,Waegwan,Wanju,Wŏnju,Yanggu,Yangju,Yangp'yŏng,Yangsan,Yeoju,Yeongam,Yeongdong,Yeonggwang,Yeonil,Yeosu,Yesan,Yongsan-dong,Yŏnmu
Mokpo,262.37,402.87,178.85,226.68,167.03,64.78,128.00,234.04,188.69,121.83,174.51,185.69,164.81,162.59,176.73,269.52,190.29,130.69,377.90,203.68,231.82,276.69,253.33,136.92,266.22,452.62,392.07,198.39,264.33,141.83,143.48,433.67,231.35,100.93,409.62,47.73,370.87,298.88,237.64,40.38,381.10,245.75,287.42,362.87,147.38,396.70,398.31,214.93,55.74,196.38,364.42,99.85,137.04,235.13,123.74,250.53,74.15,102.97,176.71,179.55,86.23,211.10,54.22,198.72,450.79,228.23,100.89,228.25,83.48,166.00,44.94,212.41,,20.98,283.45,450.18,153.75,39.80,409.11,118.55,331.40,158.08,234.10,188.37,285.86,76.71,367.52,343.13,271.94,483.09,163.63,147.81,170.34,236.23,160.95,418.78,22.09,167.14,164.00,434.75,77.93,389.45,181.90,170.51,473.42,322.90,421.32,215.66,199.88,404.55,218.07,154.53,332.29,403.03,433.09,373.22,191.68,354.08,34.64,215.74,44.74,286.79,90.20,159.34,439.59,164.52
Muan,272.99,205.79,162.64,210.47,150.82,75.40,111.79,217.83,199.31,105.62,185.13,196.31,175.43,146.38,160.52,280.14,174.08,141.31,388.52,214.30,144.97,287.31,263.95,147.54,250.02,463.24,402.69,209.01,274.95,125.62,154.10,228.51,241.97,84.72,234.76,34.32,381.49,309.50,248.26,51.00,230.90,256.37,298.04,373.49,131.17,407.32,408.92,198.72,42.34,207.00,375.04,83.64,147.66,218.92,134.36,261.15,57.94,86.76,187.33,190.17,70.02,221.72,38.01,182.51,461.41,238.85,111.51,212.04,94.10,176.62,31.53,223.03,21.48,,294.07,245.02,164.37,26.40,419.73,129.17,342.02,141.87,244.72,172.16,296.48,60.50,378.14,353.75,282.56,493.71,147.42,158.43,154.13,220.02,144.74,231.14,39.53,177.76,147.79,445.37,88.55,210.27,165.70,154.30,484.04,333.52,246.46,226.27,210.50,415.16,228.69,95.26,342.91,413.65,258.23,383.84,202.30,364.70,45.26,226.36,28.53,297.41,100.82,143.13,234.79,148.31
Mungyeong,34.03,112.48,106.78,107.74,161.22,222.69,304.66,124.52,168.62,229.46,113.25,167.91,146.62,78.60,57.81,68.36,58.08,162.07,137.58,88.19,214.04,34.46,74.58,373.60,156.71,212.29,151.75,178.33,36.58,237.37,197.79,193.34,43.74,222.78,169.29,320.86,130.55,96.87,107.81,277.05,140.78,90.58,98.59,122.54,179.96,156.38,157.98,129.93,240.29,90.95,73.68,210.22,213.91,125.61,360.42,34.66,224.67,197.90,173.72,159.49,215.10,193.32,327.35,32.02,210.46,63.08,216.90,118.74,197.47,220.31,318.07,132.89,284.57,294.11,,209.85,135.14,312.94,168.79,236.98,91.08,220.53,216.32,125.48,97.03,235.97,73.94,102.81,14.75,242.76,68.82,384.48,141.87,126.72,174.51,121.63,305.17,221.45,219.08,194.43,208.50,99.06,179.36,159.40,233.10,80.67,180.99,195.59,179.81,164.22,80.05,196.98,91.96,162.71,192.77,132.89,171.61,71.18,271.31,62.42,317.88,97.96,220.11,179.60,121.22,216.69
Munsan,178.63,48.60,91.75,50.47,89.60,365.32,129.54,31.67,311.25,149.04,255.88,310.54,289.25,98.28,143.62,211.10,101.24,304.69,95.06,230.82,356.66,161.96,236.17,516.22,34.62,168.42,77.92,320.95,232.06,132.21,340.41,17.69,223.74,174.61,43.15,463.49,58.03,258.46,240.66,419.68,47.55,252.17,260.18,93.53,108.35,113.86,55.41,58.32,382.92,233.58,81.48,352.85,356.53,35.49,503.04,222.62,367.29,340.52,316.35,302.11,357.73,335.95,214.07,128.00,166.59,205.71,359.53,38.45,340.10,362.94,460.70,334.97,427.19,436.74,186.86,,277.76,455.56,45.57,379.60,139.95,363.16,358.95,73.59,258.62,194.23,82.99,133.74,212.65,198.89,154.64,527.11,89.98,58.20,102.90,28.66,447.79,364.07,361.71,150.56,351.12,58.66,107.75,87.79,189.22,222.86,34.76,338.22,322.44,46.45,222.67,339.61,101.66,120.19,20.06,77.48,314.24,89.70,413.94,340.59,460.50,259.55,362.73,107.99,30.05,359.31
Naesŏ,118.12,258.62,252.91,253.87,197.68,97.61,235.67,270.66,36.89,160.47,30.26,98.92,11.49,193.24,164.68,125.26,248.40,36.98,233.65,90.03,145.05,132.44,110.69,248.52,313.24,308.36,247.82,46.59,120.08,168.38,57.37,289.41,87.09,153.79,265.36,195.78,226.62,147.08,85.84,151.97,236.85,93.95,135.62,218.61,326.09,252.45,254.05,276.06,115.21,52.12,220.17,141.23,127.97,271.75,235.34,106.28,155.68,128.91,104.73,27.75,146.11,124.34,202.27,256.44,306.53,83.98,91.82,264.87,72.39,79.90,192.99,60.60,159.49,169.03,139.19,305.92,,187.86,264.86,109.47,187.15,151.54,147.33,271.61,134.06,224.76,223.27,198.88,127.68,338.83,194.28,259.40,288.01,247.18,320.64,274.53,180.09,81.03,150.09,290.50,83.42,245.20,325.50,305.53,329.17,178.65,277.06,63.85,48.08,260.29,73.82,127.99,188.03,258.78,288.84,228.96,39.87,209.82,146.23,128.97,192.79,134.99,95.03,325.74,295.34,147.70
Naju,291.51,220.91,177.76,225.59,165.94,93.93,126.91,232.95,217.83,120.74,203.66,214.84,193.95,161.50,175.64,298.66,189.20,159.83,407.05,232.82,160.09,305.83,282.48,166.07,265.14,481.76,421.21,227.54,293.48,140.74,172.62,243.63,260.49,99.84,249.88,17.51,400.02,328.03,266.79,69.52,246.03,274.89,316.57,392.01,146.29,425.85,427.45,213.84,21.32,225.52,393.57,98.76,166.19,234.04,152.89,279.68,73.06,101.88,205.86,208.70,85.15,240.25,53.13,197.63,479.93,257.37,130.04,227.16,112.62,195.15,13.13,241.55,40.00,26.29,312.59,260.14,182.89,,252.80,147.69,360.54,156.99,263.25,187.29,315.01,75.62,396.67,372.27,301.08,512.23,162.54,176.95,169.25,235.14,159.86,246.26,58.06,196.28,162.91,463.90,107.08,225.39,180.82,169.43,502.56,352.05,261.58,244.80,229.02,433.69,247.22,110.38,361.43,432.17,273.35,402.36,220.82,383.22,17.09,244.88,43.65,315.94,119.35,158.25,249.91,163.44
Namyangju,141.55,41.78,68.71,32.75,82.78,328.24,122.72,41.79,274.17,142.22,218.80,273.46,252.17,90.67,106.54,174.03,64.17,267.62,53.98,193.74,319.59,124.88,199.10,479.15,52.90,127.33,36.84,283.88,194.98,342.92,303.34,29.08,186.66,167.79,5.56,426.41,20.95,221.39,203.59,382.60,10.47,215.09,223.11,52.45,101.53,72.78,6.18,51.49,345.84,196.50,44.40,315.77,319.46,45.60,465.97,185.54,330.22,303.45,279.27,265.04,320.65,298.88,432.90,90.93,125.51,168.63,322.45,44.34,303.02,325.86,423.62,297.89,390.12,399.67,149.79,45.59,240.69,418.49,,342.53,102.87,326.08,321.87,65.98,221.55,187.41,45.91,96.67,175.57,157.81,117.56,490.03,82.37,21.12,96.07,14.72,410.72,327.00,324.63,109.47,314.05,34.32,100.93,80.96,148.14,181.78,16.73,301.14,285.36,6.00,185.60,302.53,64.58,79.11,32.13,40.40,277.16,52.62,376.86,303.51,423.43,222.48,325.66,101.17,15.69,322.24
Nangen,145.63,286.13,280.43,281.39,153.26,57.36,191.24,298.17,128.96,116.05,88.58,54.50,105.08,148.82,120.26,152.78,137.51,61.30,261.16,86.94,100.62,159.95,136.60,208.27,340.75,335.88,275.33,138.66,105.39,123.96,83.53,316.93,114.61,109.37,292.88,40.35,254.14,158.89,177.91,111.72,264.36,186.02,160.61,246.13,167.15,279.97,281.57,303.58,141.42,79.64,247.69,96.81,28.96,299.26,195.09,133.80,58.31,47.36,60.31,119.82,64.56,79.91,57.42,283.96,334.05,111.49,27.53,292.39,98.60,106.06,152.74,152.68,119.24,128.78,166.71,333.44,110.47,147.61,292.37,,214.66,107.12,102.91,299.13,159.05,122.56,250.78,226.39,155.20,366.35,149.85,219.15,156.56,274.70,348.16,302.04,139.84,107.19,105.66,318.02,109.62,272.71,353.01,333.05,356.68,206.16,304.58,155.93,140.15,287.81,92.14,46.44,215.55,286.29,316.35,256.48,131.95,237.34,105.98,84.54,70.19,159.98,54.78,149.31,322.85,103.27
Neietsu,83.18,115.38,109.67,110.63,164.11,269.87,351.84,127.42,215.80,276.64,160.43,215.09,193.80,153.07,128.82,115.66,105.16,209.25,90.41,135.37,261.22,66.51,140.73,420.78,170.00,72.52,104.58,225.51,136.62,284.55,244.97,146.17,128.29,269.96,122.12,368.04,83.38,163.02,145.22,324.23,93.61,156.73,164.74,75.37,182.85,109.21,110.81,132.82,287.47,138.13,76.93,257.41,261.09,128.51,407.60,127.17,271.85,245.08,220.91,206.67,262.28,240.51,374.53,113.20,163.29,110.26,264.08,121.63,244.65,267.49,365.25,239.52,331.75,341.30,91.42,162.68,182.32,360.12,121.62,284.16,,267.71,263.51,128.37,163.18,283.15,80.03,19.04,117.20,125.63,139.83,431.66,144.76,103.94,177.40,131.28,352.35,268.63,266.26,147.26,255.68,101.96,182.26,162.29,115.97,41.83,133.82,242.77,226.99,117.05,127.23,244.16,44.79,115.53,145.59,85.72,218.79,66.58,318.49,245.14,365.06,164.11,267.29,182.49,152.10,263.87
Nonsan,198.86,99.20,62.76,103.88,50.94,215.17,88.93,111.24,182.06,12.33,141.82,66.81,158.18,46.50,60.64,206.01,74.20,114.41,314.40,140.17,26.18,213.18,189.83,287.31,143.43,389.11,328.56,191.77,125.15,21.64,136.63,121.93,167.84,72.09,128.17,141.70,131.77,212.12,231.02,190.76,124.32,239.12,213.84,299.36,64.83,333.20,135.78,92.13,149.96,132.87,300.92,81.35,52.63,112.33,274.13,187.03,107.45,36.62,52.88,172.93,83.93,95.40,111.54,82.63,387.28,164.72,92.31,102.44,151.70,159.16,166.07,205.78,161.24,145.00,219.94,138.43,147.12,160.94,131.09,75.70,267.90,,36.91,72.28,212.28,91.71,129.14,279.62,208.43,419.58,47.53,298.19,54.24,113.43,121.88,124.55,179.30,160.29,48.06,371.25,107.03,86.50,94.24,75.46,409.91,259.40,139.87,209.03,193.25,132.12,145.37,35.71,268.78,339.52,151.64,309.71,185.05,290.57,185.02,100.03,124.94,213.21,119.56,46.99,128.20,6.32
Okcheon,194.46,334.96,175.91,330.21,164.09,172.51,202.07,347.00,177.66,126.88,137.41,65.33,153.78,159.65,31.75,201.60,49.00,110.00,309.99,135.77,14.86,208.78,185.42,323.42,389.58,384.70,324.16,187.36,43.52,33.54,132.23,365.76,59.76,120.20,341.70,270.68,302.96,207.71,226.61,226.87,313.19,234.72,209.43,294.95,177.98,328.79,330.39,352.40,190.11,128.46,296.51,107.64,111.32,348.09,310.24,182.62,122.08,95.31,71.14,168.52,112.52,17.86,153.22,53.27,382.87,160.32,166.72,341.21,147.29,154.75,267.89,201.37,234.39,243.94,61.25,382.26,142.72,262.76,341.20,134.40,263.49,36.97,,347.95,207.87,133.39,299.61,275.22,47.97,415.18,40.29,334.30,167.39,323.52,235.02,350.87,254.99,155.89,17.16,366.84,158.32,321.54,401.84,381.87,405.51,254.99,353.40,204.62,188.85,336.63,140.96,94.40,264.37,335.11,365.18,305.30,180.64,286.16,221.13,17.13,267.70,208.80,169.93,160.14,371.68,114.10
Osan,164.19,30.70,21.05,24.96,32.81,350.88,118.30,43.27,296.81,75.89,241.44,296.10,274.81,27.58,54.71,196.66,38.23,290.25,108.20,216.38,342.22,147.52,221.73,501.78,74.52,181.56,91.06,306.51,217.62,60.36,325.97,53.95,209.30,101.47,60.94,171.07,64.54,244.02,226.22,405.23,57.09,237.73,245.74,106.67,94.64,127.01,68.55,18.35,179.33,219.14,58.43,110.72,342.09,44.36,488.60,208.18,136.83,326.08,301.91,287.67,113.30,321.51,140.92,104.96,179.73,191.27,345.08,33.24,325.66,348.50,195.45,320.53,190.62,174.37,124.06,70.46,263.32,190.32,63.87,365.16,125.50,72.15,344.51,,244.18,121.08,59.94,121.26,198.21,212.03,48.31,512.67,19.39,46.20,89.19,34.95,208.67,349.63,347.26,163.70,336.68,11.88,94.04,74.08,202.36,236.00,70.31,323.78,308.00,64.89,208.23,325.17,87.22,133.33,84.41,83.99,299.80,66.65,399.50,326.14,154.31,245.11,348.29,94.28,34.54,78.59
Pohang,93.85,234.35,228.64,229.60,283.08,224.63,296.49,246.39,115.77,221.29,105.09,159.75,135.79,254.07,225.51,127.40,224.13,164.01,209.38,52.59,205.87,108.17,34.73,375.54,288.97,284.09,223.55,118.75,92.77,229.21,184.39,265.14,88.04,214.62,241.09,322.80,202.35,18.53,57.38,278.99,212.58,40.15,6.30,194.34,301.82,228.18,229.78,251.79,242.24,82.79,195.90,202.06,205.74,247.48,362.36,78.97,216.50,189.73,165.56,112.39,206.93,185.16,329.29,232.17,282.26,59.70,218.84,240.60,199.42,206.92,320.01,82.47,286.51,296.06,96.52,281.65,126.97,314.88,240.59,236.49,162.88,212.37,208.16,247.34,,227.81,199.00,174.61,87.63,314.56,255.10,386.42,263.73,222.91,296.37,250.25,307.11,208.05,210.91,266.23,210.44,220.93,301.23,281.26,304.90,154.38,252.79,136.01,120.23,236.02,71.88,188.81,163.76,234.50,264.57,204.69,106.29,185.55,273.25,189.79,319.82,4.81,222.05,301.46,271.07,208.52
Puan,328.40,152.12,108.97,156.80,97.15,130.82,58.12,164.15,254.72,51.94,156.90,81.89,230.84,92.71,106.85,335.55,120.41,129.49,443.94,269.71,91.30,342.72,319.37,202.96,196.34,301.71,211.21,264.43,140.23,71.95,151.72,174.84,297.38,31.05,181.09,57.35,184.69,364.92,303.68,106.41,177.23,311.78,353.46,428.90,77.50,462.74,188.70,145.05,65.61,262.41,184.91,29.97,64.43,165.24,189.78,316.57,21.83,28.52,67.96,245.59,11.51,110.49,27.19,128.84,299.88,294.26,166.93,158.37,149.51,174.25,81.73,278.44,76.89,60.65,349.48,191.35,219.78,76.59,184.01,82.78,397.44,88.20,133.49,118.49,351.90,,186.42,409.16,337.97,332.18,93.75,213.84,100.46,166.35,91.07,177.47,94.95,175.38,94.11,283.84,143.97,156.60,112.02,100.63,322.51,388.94,192.79,281.69,265.91,185.04,160.46,41.58,398.32,469.06,204.56,204.14,257.71,193.13,100.67,115.12,40.59,352.83,156.24,89.46,181.12,94.64
Pubal,116.59,49.08,29.03,44.33,97.81,303.28,137.74,61.12,249.21,310.05,193.84,248.50,227.21,86.77,72.94,149.06,36.44,242.65,76.00,168.78,294.62,99.92,174.13,454.18,93.31,150.72,90.17,258.91,170.02,317.96,278.37,71.80,161.70,303.37,78.05,401.45,25.85,196.42,178.63,357.64,36.13,190.13,198.14,60.97,116.55,94.80,96.41,66.52,320.88,171.54,4.43,290.81,294.50,62.21,441.01,160.58,305.25,278.48,254.31,240.07,295.69,273.91,407.94,57.33,148.89,143.67,297.49,55.33,278.06,300.90,398.66,272.93,365.16,374.70,76.43,88.31,215.72,393.53,80.97,317.57,77.91,301.12,296.91,62.07,196.58,316.56,,73.63,150.61,181.19,83.96,465.07,78.47,63.31,111.10,58.23,385.76,302.03,299.67,132.86,289.09,35.66,115.96,95.99,171.52,146.13,89.75,276.18,260.40,82.00,160.64,277.57,39.62,101.13,101.52,20.10,252.20,7.37,351.90,278.55,398.46,197.51,300.70,116.20,57.81,297.28
Pyeongchang,94.73,110.52,104.81,105.77,159.25,281.42,363.39,122.56,227.35,288.19,171.98,226.64,205.35,148.21,123.96,127.21,100.30,220.80,85.75,146.92,272.77,78.06,152.28,432.33,154.75,54.22,99.92,237.06,148.17,296.10,256.52,117.57,139.84,281.51,93.52,379.59,76.93,174.57,156.77,335.78,87.16,168.27,176.29,70.72,177.99,104.55,106.15,127.96,299.02,149.68,70.48,268.96,272.64,123.65,419.15,138.72,283.40,256.63,232.46,218.22,273.83,252.06,386.08,108.34,102.72,121.81,275.63,116.77,256.20,279.04,376.80,251.07,343.30,352.85,102.97,134.08,193.87,371.67,116.96,295.71,19.04,279.26,275.06,123.51,174.73,294.70,73.23,,128.75,107.33,134.97,443.21,139.91,124.75,172.54,119.66,363.90,280.18,277.81,86.69,267.23,97.10,177.40,157.43,97.66,60.43,105.22,254.32,238.54,112.39,138.78,255.71,46.82,110.88,116.99,79.27,230.34,61.72,330.04,256.69,376.61,175.66,278.84,177.63,119.25,275.42
Sangju,47.69,188.19,182.49,183.45,236.93,209.31,291.27,200.23,155.24,216.07,99.87,154.53,133.24,248.85,54.51,54.98,177.98,148.68,163.23,74.81,200.65,62.01,63.22,360.21,242.81,237.94,177.39,164.94,22.95,223.99,184.40,218.99,29.52,209.40,194.94,307.47,156.20,85.51,96.45,263.66,166.42,79.22,87.23,148.19,255.67,182.03,183.63,205.64,226.91,77.56,149.75,196.84,200.52,201.32,347.03,20.45,211.28,184.51,160.34,146.10,201.71,179.94,313.97,186.02,236.11,49.70,203.51,194.45,184.09,206.93,304.69,121.53,271.18,280.73,14.75,235.50,121.75,299.55,194.43,223.59,116.72,207.14,202.94,201.19,85.67,222.59,152.85,128.45,,268.41,59.95,371.10,217.58,176.76,250.22,204.10,291.78,208.06,205.69,220.08,195.11,174.77,255.07,235.11,258.74,108.22,206.64,182.20,166.43,189.87,66.66,183.59,117.61,188.35,218.41,158.54,158.23,139.40,257.93,48.79,304.49,86.60,206.72,255.31,224.91,203.30
Santyoku,187.71,190.55,168.74,181.51,231.55,374.41,271.48,195.59,320.34,381.17,264.97,319.63,298.34,239.44,187.89,220.19,212.93,313.78,128.65,239.91,365.75,171.04,245.26,525.31,206.70,36.74,147.54,330.04,241.15,389.09,349.50,182.87,232.82,374.49,158.82,472.57,169.72,267.55,249.75,428.76,157.99,261.26,269.27,127.12,250.29,147.45,147.51,200.26,392.01,242.66,134.41,361.94,365.62,199.40,512.13,231.70,376.38,349.61,325.44,311.20,366.81,345.04,479.07,172.27,88.10,214.80,368.61,193.11,349.19,372.02,469.78,344.05,436.28,445.83,195.95,199.38,286.85,464.65,158.32,388.69,104.12,372.24,368.04,214.74,267.71,387.69,137.16,85.82,221.73,,198.90,536.20,231.13,169.89,244.84,167.98,456.88,373.16,370.79,72.07,360.21,183.08,249.70,229.73,16.67,28.60,170.52,347.30,331.53,153.75,231.76,348.69,110.75,153.78,182.29,143.20,323.32,125.65,423.02,349.67,469.59,268.64,371.82,249.93,188.79,368.40
Sejong,178.94,74.24,37.58,78.92,25.98,220.14,93.90,86.28,224.46,51.49,184.21,109.20,200.58,21.32,13.86,248.41,26.13,156.80,141.94,182.57,23.21,162.27,232.23,292.28,118.47,216.65,133.33,234.16,73.98,15.50,179.03,96.96,210.24,77.06,103.21,146.67,106.81,254.52,273.41,195.73,99.36,281.52,256.24,126.90,69.81,160.74,110.82,67.17,154.93,175.27,83.92,86.32,95.03,87.37,279.10,78.73,112.42,79.02,95.27,215.32,88.90,51.60,116.52,38.09,214.82,207.12,134.71,77.47,194.10,201.56,171.05,248.18,166.22,149.97,69.70,113.47,189.52,165.91,106.13,118.10,140.26,47.75,37.19,47.90,254.68,96.68,84.18,136.02,67.12,247.12,,303.17,29.06,88.47,61.44,99.59,184.27,202.69,23.08,198.79,149.43,61.54,69.28,50.50,237.45,208.49,114.91,251.43,235.65,107.16,187.77,78.10,101.98,167.06,126.68,95.61,227.45,81.41,189.99,58.49,129.91,255.61,161.95,41.05,103.24,54.19
Seogwipo,361.93,502.43,315.39,497.68,303.57,164.34,264.54,514.47,288.25,258.37,274.07,285.25,264.37,299.13,351.01,369.08,326.84,230.24,477.46,303.24,331.37,376.25,352.89,29.25,557.05,552.17,491.63,297.95,363.89,278.37,243.04,533.23,330.91,237.47,509.18,184.27,470.43,398.44,337.20,113.69,480.66,345.31,386.98,462.43,283.92,496.26,497.86,519.87,173.04,295.94,463.98,236.39,236.60,515.56,24.59,350.09,210.70,255.01,276.27,279.11,222.78,310.66,190.76,500.25,550.35,327.79,200.45,508.69,183.04,265.56,181.48,311.97,147.98,157.53,383.01,549.74,253.31,176.35,508.67,218.11,430.96,294.63,333.66,515.43,385.42,213.25,467.08,442.69,371.50,582.65,300.17,,306.88,490.99,297.49,518.34,168.58,266.70,336.42,534.31,177.49,489.01,318.45,307.06,572.98,422.46,520.88,315.21,299.44,504.10,317.63,254.09,431.85,502.59,532.65,472.78,291.24,453.64,132.98,315.30,181.29,386.35,189.76,295.88,539.15,301.07
Seonghwan,182.46,48.97,11.08,43.23,13.56,226.92,100.68,61.54,315.08,58.27,259.71,115.98,293.09,8.30,36.69,214.94,31.62,163.58,126.48,234.65,56.00,165.79,240.01,299.06,92.80,199.84,109.34,324.79,235.90,42.74,185.81,72.23,227.57,83.84,79.22,153.45,82.82,262.30,244.50,202.51,75.36,256.01,264.02,124.95,39.40,145.28,86.83,62.88,161.71,237.41,76.71,93.10,101.81,62.63,285.88,226.45,119.20,85.80,102.05,305.95,95.68,144.58,123.30,123.23,198.01,209.54,141.49,51.51,200.88,208.34,177.83,338.80,173.00,156.75,142.34,88.74,281.60,172.69,82.14,124.88,143.78,54.53,167.58,19.41,262.46,103.46,78.22,139.53,216.48,230.31,30.68,309.95,,64.48,55.85,59.99,191.05,209.47,44.38,181.98,156.21,35.57,50.38,40.74,220.64,254.28,88.59,342.05,326.27,83.17,226.51,84.88,105.50,151.61,102.69,102.27,318.07,84.93,196.77,149.21,136.69,263.39,168.73,28.80,60.12,60.97
Seongnam-si,142.31,24.21,66.57,18.66,65.21,329.00,105.14,32.46,274.93,124.65,219.56,274.22,252.93,73.10,107.30,174.78,64.93,268.37,65.37,194.50,320.34,125.64,199.85,479.90,58.99,138.73,48.23,284.63,195.74,107.82,304.09,42.16,187.42,150.22,18.11,427.17,21.71,222.14,204.34,383.36,14.25,215.85,223.86,63.84,83.95,84.17,25.72,33.92,346.60,197.26,45.16,316.53,320.21,31.55,466.73,186.30,330.97,304.20,280.03,265.80,162.05,299.63,189.67,91.68,136.90,169.39,323.21,23.01,303.78,326.62,424.38,298.65,390.88,400.42,150.54,58.67,241.45,419.25,21.03,343.29,103.63,117.66,322.63,48.40,222.30,169.84,46.67,97.42,176.33,169.20,90.26,490.79,64.80,,78.50,16.25,411.47,327.75,325.39,120.87,314.81,20.87,83.36,63.39,159.53,193.17,29.81,301.90,286.12,22.06,186.36,303.29,65.34,90.50,41.58,41.16,277.92,53.38,377.62,304.27,203.07,223.23,326.42,83.59,15.84,124.11
Seosan,215.47,62.30,61.65,66.99,37.61,215.06,40.46,74.34,348.10,88.19,292.73,347.39,326.10,50.56,157.24,247.95,138.09,341.54,138.54,267.67,393.51,198.80,273.02,287.20,106.53,211.89,121.40,357.80,268.91,108.19,377.26,85.03,260.58,71.99,91.27,141.59,94.88,295.31,277.51,190.65,87.42,289.02,297.03,137.01,24.38,157.34,98.89,55.24,149.85,270.42,95.10,81.24,393.38,75.43,274.02,259.46,107.34,93.56,353.20,338.96,83.82,372.80,111.44,141.62,210.06,242.56,396.37,68.56,376.95,399.78,165.97,371.81,161.14,144.89,223.71,101.54,314.61,160.83,94.20,416.45,176.79,124.45,395.80,90.19,295.47,91.60,96.61,170.59,249.49,242.36,61.16,298.09,54.71,76.54,,87.65,179.19,400.92,130.36,194.03,387.97,66.79,20.71,15.85,232.70,266.33,102.97,375.06,359.29,95.22,259.52,92.86,138.51,163.66,114.75,114.33,351.08,103.32,184.92,377.43,124.83,296.40,399.58,27.69,91.30,130.89
Seoul,167.02,34.63,51.63,16.83,75.63,353.71,115.56,14.95,299.64,135.07,244.27,298.93,277.65,68.79,132.02,199.50,89.64,293.09,83.46,219.21,345.06,150.35,224.57,504.62,44.89,156.81,66.32,309.35,220.46,101.57,328.81,11.07,212.13,160.64,9.94,451.88,46.42,246.86,229.06,408.07,35.94,240.57,248.58,81.93,94.37,102.26,43.81,44.34,371.32,221.97,69.87,341.25,344.93,21.51,491.44,211.01,355.69,328.92,304.75,290.51,346.12,324.35,200.09,116.40,154.99,194.10,347.92,9.97,328.49,351.33,449.09,323.36,415.59,425.14,175.26,28.51,266.16,443.96,14.74,368.00,128.34,113.36,347.35,35.04,247.02,180.26,71.38,122.14,201.04,187.29,85.96,515.50,60.49,16.21,88.92,,436.19,352.47,350.10,138.95,339.52,27.04,93.78,73.81,177.62,211.25,23.15,326.61,310.83,15.77,211.07,328.00,90.06,108.58,57.60,65.87,302.63,78.10,402.33,328.98,213.49,247.95,351.13,94.02,2.40,119.80
Sinan,283.02,240.36,197.22,245.04,185.39,85.43,146.36,252.40,209.33,140.19,195.16,206.34,185.45,180.96,195.10,290.16,208.66,151.33,398.55,224.33,179.54,297.34,273.98,157.57,284.59,473.26,412.72,219.04,284.98,160.19,164.12,454.31,251.99,119.29,430.26,66.09,391.52,319.53,258.29,61.02,401.75,266.39,308.07,383.51,165.74,417.35,418.95,233.30,74.10,217.02,385.07,118.21,157.69,253.49,144.39,271.18,92.52,121.33,197.36,200.20,104.60,231.75,72.58,217.08,471.43,248.88,121.54,246.62,104.12,186.65,63.30,233.05,22.13,39.35,304.09,470.82,174.39,58.17,429.76,139.19,352.05,176.45,254.75,206.74,306.51,95.07,388.17,363.78,292.58,503.73,181.99,168.46,188.70,254.60,179.31,439.43,,187.78,182.36,455.40,98.58,410.10,200.27,188.88,494.07,343.55,441.96,236.30,220.52,425.19,238.72,129.83,352.93,423.67,453.74,393.86,212.32,374.72,55.29,236.38,63.11,307.44,110.85,177.70,269.36,182.89
Sinhyeon,182.89,323.39,317.69,318.65,204.91,105.04,242.90,335.43,38.65,167.70,95.04,106.15,42.47,200.47,171.91,190.04,189.16,51.15,298.42,124.20,152.28,197.21,173.86,255.95,378.01,373.14,312.59,118.91,157.21,175.61,29.63,354.19,151.87,161.02,330.14,203.21,291.40,219.40,158.16,159.40,301.62,166.27,207.94,283.39,218.80,317.23,318.83,340.84,122.64,116.90,284.95,148.46,152.15,336.52,242.77,171.06,162.90,136.14,111.96,100.07,153.34,131.57,209.70,321.22,371.31,148.75,99.25,329.65,79.82,7.42,200.42,132.93,166.92,176.46,203.97,370.70,74.27,195.29,329.63,116.90,251.92,158.77,154.56,336.39,206.38,232.19,288.04,263.65,192.46,403.61,201.51,266.83,208.22,311.95,385.42,339.30,187.52,,157.32,355.28,90.85,309.97,390.27,370.31,393.94,243.42,341.84,136.18,120.40,325.07,143.96,135.22,252.81,323.55,353.61,293.74,112.20,274.60,153.66,136.20,200.22,207.31,102.46,200.96,360.11,154.93
